"Record ID","Temperature","Turbidity (cm)","Dissolved Oxygen (mg L-1)","Biochemical Oxygen Demand (mg L-1)","Carbon Dioxide (mg L-1)","pH","Total Alkalinity (mg L-1 as CaCO3)","Total Hardness (mg L-1 as CaCO3)","Calcium (mg L-1)","Estimated Magnesium (mg L-1)","Ammonia (mg L-1)","Nitrite (mg L-1)","Phosphorus (mg L-1)","Hydrogen Sulphide (mg L-1)","Plankton Abundance (No. L-1)","Water Quality Index (WQI)","WQI-Derived Quality Label","WQI-Derived Quality Category","WQI-Derived Aquaculture Suitability Classification","WQI-Derived Aquaculture Suitability Description"
"2484","22.243","33.722","5.615","3.231","2.439","7.611","103.449","204.871","53.275","17.446","0.116","0.021","0.135","0.006","5650","95.39","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2485","22.694","41.241","5.702","3.512","3.477","7.958","111.270","202.334","51.640","17.821","0.111","0.028","0.051","0.005","3933","93.56","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2486","22.430","35.989","5.551","3.594","3.072","7.640","111.295","275.025","71.711","23.303","0.116","0.022","0.125","0.006","3968","94.93","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2487","24.909","37.646","5.263","3.576","4.719","7.613","101.493","102.205","25.157","9.565","0.111","0.026","0.134","0.007","5442","95.06","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2488","24.340","40.715","5.373","3.360","3.118","7.921","165.902","122.065","22.951","15.725","0.114","0.030","0.111","0.007","5498","93.83","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2489","22.330","40.068","5.587","3.249","3.298","7.651","110.582","269.520","70.276","22.837","0.111","0.024","0.050","0.007","3909","95.20","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2490","22.257","35.711","5.591","3.377","3.970","7.912","172.743","250.999","57.739","25.941","0.119","0.024","0.135","0.008","3807","93.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2491","22.613","38.363","5.632","3.371","3.887","7.945","111.810","231.919","59.746","20.091","0.113","0.020","0.132","0.005","5536","93.79","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2492","22.763","40.688","5.354","3.271","3.395","7.920","110.457","99.438","23.323","10.005","0.114","0.022","0.051","0.007","3739","93.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2493","24.495","40.568","5.433","3.681","3.905","7.938","104.141","100.090","24.257","9.597","0.110","0.031","0.051","0.007","5157","93.48","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2494","24.789","33.891","5.338","3.659","4.620","7.652","145.274","219.823","52.410","21.602","0.116","0.024","0.050","0.006","3772","94.80","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2495","24.586","38.442","5.286","3.561","2.090","7.631","103.791","96.772","23.383","9.321","0.115","0.022","0.051","0.007","4926","95.00","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2496","22.365","40.906","5.708","3.566","3.956","7.917","165.136","129.779","25.173","16.251","0.119","0.024","0.116","0.006","3571","93.68","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2497","22.477","39.117","5.555","3.390","2.537","7.636","149.187","126.758","26.243","14.869","0.119","0.031","0.051","0.008","3613","95.05","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2498","22.715","36.995","5.646","3.300","3.978","7.909","111.331","253.545","65.775","21.686","0.115","0.025","0.051","0.007","4063","93.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2499","22.774","40.058","5.414","3.637","2.618","7.619","112.652","97.785","22.604","10.040","0.117","0.023","0.129","0.007","3762","94.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2500","24.323","34.458","5.285","3.697","4.726","7.610","161.123","303.590","73.650","29.064","0.118","0.029","0.051","0.007","4948","94.91","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2501","22.789","35.565","5.267","3.543","2.035","7.626","100.060","251.912","66.670","20.747","0.111","0.022","0.124","0.006","5326","95.06","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2502","24.493","39.286","5.263","3.208","2.803","7.941","183.704","128.606","22.631","17.508","0.115","0.029","0.114","0.008","3599","93.88","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2503","24.837","36.635","5.461","3.228","2.407","7.939","172.006","219.867","49.230","23.540","0.119","0.027","0.123","0.006","3916","93.86","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2504","22.235","36.604","5.401","3.269","4.665","7.634","164.033","126.995","24.535","15.962","0.114","0.029","0.120","0.006","3598","95.21","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2505","22.414","40.791","5.552","3.542","4.732","7.607","110.905","311.964","81.958","26.060","0.113","0.023","0.117","0.007","3884","95.13","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2506","22.140","39.493","5.495","3.670","4.628","7.649","173.146","261.214","60.512","26.740","0.118","0.030","0.129","0.007","5078","94.75","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2507","22.699","37.270","5.287","3.474","3.952","7.919","147.488","317.045","78.993","29.092","0.112","0.029","0.051","0.006","5700","93.75","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2508","24.649","35.206","5.605","3.319","2.821","7.647","108.954","103.245","24.554","10.183","0.118","0.023","0.050","0.007","4923","95.13","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2509","24.836","36.330","5.446","3.156","2.197","7.951","111.879","104.642","24.590","10.500","0.119","0.023","0.137","0.008","3557","93.90","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2510","24.411","40.512","5.704","3.266","4.661","7.635","102.283","234.231","61.522","19.575","0.115","0.023","0.139","0.006","5467","95.24","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2511","24.465","40.288","5.438","3.311","2.941","7.913","175.407","125.585","22.788","16.679","0.115","0.020","0.118","0.007","3880","93.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2512","22.398","34.032","5.708","3.326","3.863","7.955","173.831","125.915","23.067","16.590","0.115","0.031","0.050","0.006","3675","93.70","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2513","22.166","35.089","5.530","3.566","2.379","7.937","140.687","115.736","24.214","13.422","0.113","0.031","0.051","0.006","3914","93.57","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2514","24.765","39.403","5.259","3.355","2.467","7.936","175.907","209.918","46.017","23.073","0.119","0.022","0.051","0.007","3583","93.80","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2515","24.813","36.868","5.512","3.572","4.663","7.635","141.224","200.517","47.562","19.853","0.115","0.025","0.050","0.006","3792","94.96","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2516","22.557","40.400","5.645","3.457","2.122","7.949","111.705","303.194","79.441","25.456","0.116","0.027","0.125","0.006","3986","93.63","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2517","24.422","34.019","5.329","3.538","3.916","7.934","156.899","117.965","22.894","14.764","0.115","0.027","0.051","0.008","3898","93.63","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2518","22.168","39.778","5.285","3.321","2.303","7.630","152.317","233.838","55.439","23.168","0.114","0.022","0.140","0.007","5153","95.23","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2519","24.289","38.921","5.564","3.411","4.624","7.651","166.084","120.984","22.631","15.657","0.113","0.024","0.051","0.006","3937","95.05","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2520","22.428","38.846","5.583","3.653","2.433","7.927","110.430","108.689","25.881","10.700","0.117","0.028","0.135","0.005","5164","93.54","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2521","24.570","35.930","5.679","3.675","4.689","7.624","102.132","220.043","57.622","18.495","0.119","0.028","0.051","0.006","5130","94.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2522","22.752","36.742","5.508","3.388","3.160","7.930","109.636","304.781","80.126","25.427","0.113","0.022","0.050","0.007","5682","93.82","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2523","24.738","33.310","5.257","3.254","2.467","7.945","105.614","296.179","78.231","24.487","0.114","0.029","0.051","0.005","5669","93.82","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2524","24.684","33.310","5.358","3.687","2.933","7.639","104.625","106.528","25.977","10.117","0.113","0.029","0.051","0.006","3579","94.82","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2525","24.935","38.148","5.258","3.691","4.610","7.656","163.112","288.541","69.256","28.074","0.113","0.023","0.051","0.005","5010","94.78","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2526","22.186","33.597","5.355","3.662","2.002","7.943","156.219","116.824","22.660","14.629","0.118","0.021","0.120","0.006","3845","93.50","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2527","24.893","34.047","5.272","3.694","3.971","7.911","110.841","108.832","25.871","10.741","0.110","0.023","0.051","0.006","4040","93.64","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2528","22.469","34.321","5.662","3.245","3.937","7.925","187.554","142.546","26.021","18.837","0.115","0.027","0.112","0.007","5678","93.93","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2529","24.357","38.572","5.468","3.216","3.885","7.946","107.711","98.379","23.358","9.727","0.110","0.022","0.112","0.007","3882","93.92","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2530","22.507","39.550","5.370","3.562","4.691","7.624","102.663","270.514","71.496","22.338","0.114","0.028","0.115","0.005","3930","95.00","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2531","22.212","40.443","5.398","3.645","2.939","7.622","180.146","244.061","54.939","25.954","0.120","0.028","0.125","0.006","3667","94.90","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2532","22.649","37.515","5.564","3.284","4.646","7.642","171.790","134.933","25.801","17.122","0.116","0.027","0.051","0.007","3804","95.16","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2533","24.453","41.311","5.343","3.386","3.963","7.915","102.782","272.363","71.993","22.486","0.115","0.021","0.050","0.006","3897","93.89","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2534","22.304","38.617","5.711","3.609","3.447","7.922","101.506","103.560","25.530","9.668","0.118","0.021","0.050","0.006","3816","93.64","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2535","24.591","36.212","5.501","3.518","3.204","7.945","103.060","103.195","25.243","9.753","0.113","0.021","0.051","0.007","4924","93.65","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2536","22.826","40.610","5.395","3.611","4.641","7.644","104.663","310.668","82.346","25.510","0.115","0.030","0.114","0.006","5621","94.85","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2537","24.727","39.192","5.392","3.430","3.896","7.942","163.285","122.114","23.277","15.539","0.112","0.029","0.117","0.007","3610","93.69","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2538","22.702","37.706","5.665","3.562","3.034","7.654","102.063","102.497","25.170","9.628","0.113","0.028","0.127","0.007","3760","94.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2539","24.645","33.785","5.400","3.524","2.574","7.952","174.180","251.793","57.787","26.105","0.119","0.032","0.118","0.007","3615","93.50","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2540","24.267","41.299","5.661","3.289","2.681","7.921","147.220","116.708","23.702","13.969","0.110","0.027","0.127","0.007","5656","93.94","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2541","24.392","33.293","5.695","3.190","4.685","7.626","152.301","123.668","25.018","14.861","0.112","0.025","0.051","0.007","3842","95.36","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2542","24.426","41.459","5.553","3.506","3.964","7.914","165.054","257.680","60.502","25.888","0.116","0.022","0.051","0.005","3843","93.77","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2543","24.738","36.466","5.533","3.392","2.762","7.942","111.603","100.420","23.457","10.162","0.116","0.030","0.123","0.005","3672","93.70","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2544","22.556","40.156","5.487","3.265","3.347","7.937","176.806","129.215","23.623","17.054","0.113","0.025","0.050","0.006","5623","93.88","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2545","24.496","39.900","5.638","3.667","3.975","7.910","100.604","271.935","72.135","22.296","0.119","0.020","0.140","0.007","3670","93.64","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2546","24.645","40.387","5.658","3.522","4.637","7.645","103.427","308.421","81.873","25.251","0.116","0.032","0.051","0.008","3755","94.90","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2547","22.140","40.325","5.569","3.312","3.415","7.619","105.764","100.253","24.108","9.727","0.112","0.026","0.118","0.007","3596","95.27","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2548","22.666","40.871","5.409","3.273","3.643","7.915","109.464","102.701","24.342","10.179","0.115","0.031","0.137","0.006","4045","93.92","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2549","24.936","40.281","5.495","3.314","3.035","7.927","107.485","97.805","23.227","9.667","0.112","0.027","0.050","0.008","5648","93.88","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2550","22.814","40.553","5.443","3.388","4.661","7.636","101.474","247.936","65.403","20.550","0.117","0.030","0.051","0.005","4020","95.07","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2551","24.733","33.355","5.393","3.214","2.080","7.612","152.816","119.067","23.686","14.551","0.117","0.030","0.050","0.006","3846","95.34","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2552","22.275","35.056","5.321","3.200","2.277","7.943","142.783","239.139","58.041","22.878","0.115","0.030","0.050","0.005","3813","93.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2553","24.667","34.895","5.499","3.151","3.348","7.956","102.740","104.128","25.539","9.800","0.120","0.025","0.051","0.008","5196","93.86","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2554","24.341","41.166","5.302","3.308","4.651","7.640","144.662","112.023","22.714","13.430","0.114","0.021","0.051","0.006","3944","95.20","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2555","22.746","36.424","5.640","3.654","4.664","7.635","156.940","117.201","22.678","14.710","0.116","0.024","0.115","0.006","5421","94.88","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2556","22.221","40.843","5.715","3.147","3.130","7.955","105.399","104.343","25.281","10.009","0.110","0.023","0.050","0.005","3739","93.94","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2557","24.635","39.444","5.394","3.542","2.455","7.645","102.993","105.853","25.985","9.949","0.117","0.021","0.050","0.007","3900","94.95","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2558","24.912","36.439","5.614","3.343","3.977","7.909","145.893","270.100","66.220","25.437","0.118","0.032","0.138","0.006","3572","93.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2559","24.917","41.152","5.632","3.304","3.134","7.911","157.945","130.059","26.109","15.752","0.116","0.023","0.138","0.006","3800","93.96","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2560","24.495","37.520","5.385","3.694","4.660","7.636","166.602","130.305","25.143","16.397","0.113","0.027","0.135","0.007","5029","94.84","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2561","24.626","34.386","5.318","3.325","3.978","7.909","105.015","206.824","53.627","17.707","0.117","0.029","0.051","0.006","5660","93.91","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2562","24.503","36.526","5.313","3.655","4.679","7.628","153.499","323.114","79.952","29.984","0.118","0.029","0.133","0.006","3725","94.87","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2563","24.721","40.451","5.666","3.560","2.591","7.627","177.622","324.261","77.388","31.817","0.113","0.028","0.129","0.007","5385","94.99","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2564","24.350","35.788","5.432","3.664","3.476","7.606","100.076","279.183","74.199","22.804","0.115","0.030","0.114","0.008","5288","94.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2565","22.720","39.050","5.592","3.237","3.401","7.958","103.482","254.053","66.853","21.156","0.118","0.022","0.051","0.007","5225","93.81","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2566","22.674","38.242","5.719","3.715","3.427","7.644","185.716","133.886","23.849","18.051","0.115","0.028","0.136","0.007","3624","94.77","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2567","22.274","38.801","5.698","3.305","3.657","7.631","176.797","292.009","68.580","29.326","0.115","0.029","0.132","0.007","3896","95.19","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2568","24.823","36.213","5.655","3.252","3.908","7.937","110.639","228.339","58.897","19.736","0.117","0.023","0.132","0.008","5552","93.89","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2569","24.570","37.153","5.444","3.423","3.271","7.641","177.191","237.544","53.492","25.249","0.115","0.021","0.050","0.006","3826","95.09","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2570","24.524","37.848","5.498","3.485","4.689","7.624","107.826","252.735","65.970","21.372","0.119","0.031","0.050","0.007","5409","95.02","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2571","22.496","36.160","5.570","3.225","2.644","7.912","105.890","230.802","60.144","19.578","0.111","0.022","0.051","0.007","5087","94.06","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2572","22.371","37.441","5.528","3.175","4.698","7.612","144.930","112.921","22.930","13.517","0.113","0.020","0.050","0.005","5615","95.46","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2573","24.462","41.075","5.439","3.454","4.627","7.649","108.293","292.935","77.015","24.436","0.114","0.030","0.136","0.006","5273","94.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2574","22.742","35.215","5.593","3.396","3.949","7.920","165.542","311.889","75.414","30.010","0.116","0.022","0.124","0.007","3818","93.85","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2575","22.642","39.020","5.484","3.251","4.653","7.639","139.296","275.342","68.455","25.355","0.118","0.024","0.051","0.006","4072","95.22","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2576","22.573","38.103","5.648","3.471","3.001","7.931","181.578","272.367","62.585","28.191","0.118","0.028","0.115","0.005","3790","93.68","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2577","22.392","37.572","5.328","3.689","2.442","7.656","104.277","301.444","79.845","24.787","0.120","0.021","0.114","0.006","5295","94.76","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2578","22.661","35.591","5.594","3.243","4.662","7.635","147.528","124.895","25.926","14.608","0.117","0.022","0.114","0.006","3901","95.26","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2579","24.858","38.867","5.297","3.440","4.635","7.646","176.973","126.423","22.832","16.856","0.113","0.028","0.119","0.007","3914","95.01","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2580","24.314","38.535","5.548","3.388","3.933","7.927","103.785","104.474","25.510","9.902","0.111","0.030","0.051","0.008","4001","93.79","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2581","24.638","35.672","5.413","3.629","2.529","7.649","112.197","104.819","24.601","10.537","0.117","0.026","0.050","0.005","3935","94.82","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2582","24.902","38.866","5.412","3.645","3.465","7.940","106.750","104.819","25.251","10.143","0.117","0.029","0.130","0.005","3636","93.48","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2583","22.232","40.582","5.637","3.614","3.494","7.646","107.223","239.633","62.424","20.340","0.115","0.030","0.112","0.007","3717","94.83","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2584","24.728","40.775","5.323","3.369","2.491","7.924","101.554","100.164","24.586","9.415","0.112","0.024","0.114","0.006","3581","93.86","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2585","22.158","40.668","5.285","3.266","2.459","7.918","148.401","246.978","59.535","23.875","0.120","0.022","0.051","0.006","3946","93.95","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2586","24.271","33.401","5.598","3.224","2.128","7.923","104.970","102.240","24.752","9.819","0.118","0.021","0.122","0.007","3993","93.98","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2587","24.804","39.298","5.517","3.373","2.441","7.651","109.838","204.349","52.368","17.869","0.114","0.032","0.050","0.007","5625","95.02","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2588","24.865","39.952","5.332","3.506","4.631","7.648","150.443","126.944","26.144","14.974","0.115","0.026","0.050","0.007","3984","94.95","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2589","22.214","35.066","5.710","3.268","4.724","7.610","104.207","302.567","80.163","24.866","0.110","0.030","0.051","0.007","5538","95.33","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2590","22.163","34.498","5.477","3.499","2.945","7.952","102.543","105.580","25.964","9.895","0.111","0.027","0.051","0.005","5178","93.60","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2591","24.569","41.153","5.491","3.240","3.874","7.950","104.520","104.906","25.542","9.987","0.117","0.023","0.051","0.006","5548","93.84","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2592","22.243","39.868","5.589","3.307","3.877","7.949","174.859","339.309","81.873","32.752","0.112","0.026","0.051","0.007","5672","93.79","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2593","24.651","35.030","5.478","3.558","3.166","7.636","175.857","137.335","25.979","17.597","0.117","0.026","0.115","0.006","5548","94.95","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2594","22.339","39.440","5.425","3.487","3.918","7.933","159.460","218.930","50.469","22.562","0.115","0.028","0.131","0.008","5325","93.67","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2595","24.778","33.929","5.561","3.495","2.387","7.946","160.669","126.505","24.802","15.681","0.111","0.029","0.051","0.005","5584","93.62","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2596","22.622","33.935","5.464","3.680","4.639","7.644","106.386","94.892","22.554","9.367","0.116","0.031","0.123","0.006","5042","94.77","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2597","22.759","36.285","5.541","3.303","2.210","7.925","166.298","252.200","58.840","25.565","0.112","0.026","0.119","0.007","3747","93.90","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2598","22.143","41.054","5.409","3.482","4.641","7.644","105.059","270.828","71.297","22.535","0.118","0.028","0.129","0.007","5540","94.96","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2599","22.414","34.674","5.323","3.625","3.954","7.919","145.746","289.445","71.580","26.884","0.118","0.023","0.050","0.007","3727","93.63","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2600","24.457","40.004","5.452","3.694","3.495","7.606","101.851","98.184","24.004","9.288","0.112","0.021","0.051","0.007","3617","95.02","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2601","24.737","35.396","5.393","3.216","3.933","7.927","111.864","110.326","26.162","10.928","0.114","0.032","0.051","0.007","4050","93.92","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2602","24.450","33.295","5.416","3.547","3.952","7.919","105.588","95.317","22.766","9.342","0.114","0.027","0.133","0.006","3797","93.69","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2603","22.468","38.664","5.438","3.507","2.188","7.952","138.739","120.991","25.898","13.677","0.117","0.029","0.137","0.008","3809","93.55","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2604","22.701","34.102","5.534","3.656","4.713","7.609","146.606","224.763","53.615","22.071","0.115","0.029","0.131","0.006","5612","94.97","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
"2605","22.229","38.452","5.696","3.479","3.950","7.920","145.930","121.647","25.220","14.248","0.113","0.023","0.050","0.008","3797","93.78","1","Excellent/Good","Highly Suitable","Optimal Suitability: Water is clean and suitable for all biological production uses."
